movie_id,movie_title_year,year
0002844,Fantômas - À l'ombre de la guillotine (1913),1913
0004936,The Bank (1915),1915
0004972,The Birth of a Nation (1915),1915
0005078,The Cheat (1915),1915
0006684,The Fireman (1916),1916
0006689,The Floorwalker (1916),1916
0007264,The Rink (1916),1916
0007880,Easy Street (1917),1917
0008133,The Immigrant (1917),1917
0009018,A Dog's Life (1918),1918
0009968,Broken Blossoms or The Yellow Man and the Girl (1919),1919
0011267,Headin' Home (1920),1920
0011508,Neighbors (1920),1920
0011541,One Week (1920),1920
0011607,Prästänkan (1920),1920
0011717,The Son of Tarzan (1920),1920
0012349,The Kid (1921),1921
0012364,Körkarlen (1921),1921
0012651,Schloß Vogeloed (1921),1921
0013025,Cops (1922),1922
0013086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit (1922)",1922
0013427,Nanook of the North (1922),1922
0013442,"Nosferatu, eine Symphonie des Grauens (1922)",1922
0014142,The Hunchback of Notre Dame (1923),1923
0014341,Our Hospitality (1923),1923
0014429,Safety Last! (1923),1923
0014538,Three Ages (1923),1923
0014872,Entr'acte (1924),1924
0015002,Hot Water (1924),1924
0015064,Der letzte Mann (1924),1924
0015163,The Navigator (1924),1924
0015324,Sherlock Jr. (1924),1924
0015361,Stachka (1925),1925
0015400,The Thief of Bagdad (1924),1924
0015624,The Big Parade (1925),1925
0015648,Bronenosets Potyomkin (1925),1925
0015864,The Gold Rush (1925),1925
0015881,Greed (1924),1924
0016332,Seven Chances (1925),1925
0016847,Faust - Eine deutsche Volkssage (1926),1926
0017075,The Lodger: A Story of the London Fog (1927),1927
0017136,Metropolis (1927),1927
0017196,Nana (1926),1926
0017925,The General (1926),1926
0018217,Oktyabr (1928),1928
0018455,Sunrise: A Song of Two Humans (1927),1927
0018578,Wings (1927),1927
0018742,The Cameraman (1928),1928
0018773,The Circus (1928),1928
0018806,The Crowd (1928),1928
0019130,The Man Who Laughs (1928),1928
0019254,La passion de Jeanne d'Arc (1928),1928
0019421,"Steamboat Bill, Jr. (1928)",1928
0019729,The Broadway Melody (1929),1929
0019760,Chelovek s kino-apparatom (1929),1929
0019901,Frau im Mond (1929),1929
0020530,Un chien andalou (1929),1929
0020581,Where East Is East (1929),1929
0020629,All Quiet on the Western Front (1930),1930
0020686,The Big House (1930),1930
0020693,Billy the Kid (1930),1930
0020768,City Girl (1930),1930
0020902,Free and Easy (1930),1930
0020980,Hogaraka ni ayume (1930),1930
0021079,Little Caesar (1931),1931
0021156,Morocco (1930),1930
0021283,Rakudai wa shitakeredo (1930),1930
0021406,Sono yo no tsuma (1930),1930
0021577,L'âge d'or (1930),1930
0021746,Cimarron (1931),1931
0021749,City Lights (1931),1931
0021814,Dracula (1931),1931
0021884,Frankenstein (1931),1931
0022100,M (1931),1931
0022279,Private Lives (1931),1931
0022458,Tabu: A Story of the South Seas (1931),1931
0022792,The Crowd Roars (1932),1932
0022834,Downstairs (1932),1932
0022913,Freaks (1932),1932
